Active,Name,Task Nesting,Actual Dates Enabled,Actual Start,Actual End,Planned Dates Enabled,Planned Start,Planned End,Task Type,Attached,Script,Data Source,Synchronization ID,Display ID,Animation,Animation Behavior,Provided Progress %,Comments,Material Cost,Labor Cost,Equipment Cost,Subcontractor Cost,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10
1,CONSTRUCTION,0,1,,,1,07/07/2023,30/10/2023,,,,,,,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,
1,DEMOLITION WORKS,1,1,,,1,07/07/2023,18/07/2023,,,,,,,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,
1,HPDA.CON..DM.10000,2,1,,,1,07/07/2023,18/07/2023,,,,,,Demoltion of Existing Groyens & Segregation of the Rocks,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,
1,10.10 P3 - EXISTING SOUTH GROYNE - CUT,3,1,,,1,,,Construct,,,,,eecb7914-f52d-56d8-87f5-50f33496afce,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,ROCKWORKS- GROYENS,1,1,,,1,01/08/2023,10/09/2023,,,,,,,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,
1,NORTH GROYNE,2,1,,,1,01/08/2023,10/09/2023,,,,,,,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,
1,HPDA.CON.NG.10000,3,1,,,1,01/08/2023,19/08/2023,,,,,,Toe Excavation for North Groyne,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,
1,HPDA.CON.NG.10010,3,1,,,1,04/08/2023,22/08/2023,,,,,,Laying of Geotextile for North Groyne,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,
1,HPDA.CON.NG.10020,3,1,,,1,05/08/2023,23/08/2023,,,,,,Placing of Quarry Run (1-1000kg) for North Groyne,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,
1,11.10 P3 - NORTH GROYNE QR,4,1,,,1,,,Construct,,,,,2a372895-ea2b-530f-809e-476110e41989,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,HPDA.CON.NG.10030,3,1,,,1,16/08/2023,26/08/2023,,,,,,Profiling of  Quarry Run (1-1000kg) for North Groyne,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,
1,HPDA.CON.NG.10040,3,1,,,1,26/08/2023,10/09/2023,,,,,,Installation of Armour Rock (0.3 to 1T) for North Groyne,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,
1,11.20 P3 - NORTH GROYNE AR,4,1,,,1,,,Construct,,,,,35ea248e-1d12-5289-9f67-fa23fe6e16d4,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,BEACH WORKS,1,1,,,1,04/07/2023,25/10/2023,,,,,,,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,
1,NORTH SIDE BEACH,2,1,,,1,04/07/2023,25/10/2023,,,,,,,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,
1,BEACH PROFILING WORKS,3,1,,,1,04/07/2023,02/10/2023,,,,,,,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,
1,HPDA.CON.BW.NS.BP.10000,4,1,,,1,04/07/2023,02/10/2023,,,,,,Earthwork (Cut & Fill) for Native Soil as per Required Profile,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,
1,12.00 P3 - BEACH RECLAMATION - FILL-B,5,1,,,1,,,Construct,,,,,06ae2fdd-6509-5f30-8b5d-078349ed26a9,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,12.00 P3 - BEACH RECLAMATION - FILL-A,5,1,,,1,,,Construct,,,,,5b13ebff-0c32-5856-b206-31a71a1dfe50,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
